Time,Action,Entry Type,Entry Price,Exit Price,PnL
2025-05-20 10:30:01.836850,SELL,long2,134.92,132.98,-1.94
2025-05-30 17:30:04.320002,SELL,short1,139.03,134.99,-4.04
2025-06-03 10:30:04.072672,SELL,long1,136.56,141.25,4.69
2025-06-05 12:00:02.353198,SELL,short1,140.58,143.84,3.26
2025-06-09 14:45:01.805738,SELL,long2,143.84,142.84,-1.0
2025-06-10 07:00:00.412743,SELL,short1,142.19,143.01,0.82
2025-06-11 12:30:06.493614,SELL,long2,143.01,143.24,0.23
2025-06-12 09:45:03.319956,SELL,short1,143.57,141.98,-1.59
2025-06-12 15:15:03.991006,SELL,long1,144.71,144.63,-0.08
2025-06-13 16:15:04.041398,SELL,short1,142.17,141.96,-0.21
2025-06-16 14:00:01.424910,SELL,long1,143.21,145.27,2.06
2025-06-18 11:00:00.668541,SELL,short1,144.19,145.33,1.14
2025-06-20 07:00:02.665525,SELL,long2,145.33,144.86,-0.47
